age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
136.2769,0.0,503945.3,0.9426334,0.7569299,0.7210015,0.002506061,0.003886566,0.4486514,11.37394
244.6126,0.000246,7265.137,0.8086458,0.649957,0.001453017,0.003413329,0.005283547,3.25811,11.40063
352.805,1.76e-05,21179.75,1.173439,0.5222537,0.001059987,0.001621233,0.008184719,1.926955,11.40253
475.634,9.6e-06,7317.212,1.36457,0.4242001,0.0005566888,0.001199002,0.01240708,6.902902,11.40371
578.2742,8.29e-06,7198.251,1.189997,0.3752201,0.0004549326,0.001576707,0.01585882,7.112115,11.40456
697.5091,6.66e-06,14463.0,1.128238,0.3243473,0.000536281,0.001754168,0.02122522,5.240535,11.40536
808.0334,5.45e-06,6291.821,1.207787,0.2980514,0.0003971286,0.001530786,0.02513697,8.351223,11.40596
929.7872,4.96e-06,11261.26,1.275563,0.2721816,0.0004240964,0.001372504,0.03014395,6.481679,11.40656
1051.909,5.58e-06,25096.1,0.7937152,0.2504358,0.0004880363,0.003544978,0.0356082,4.401355,11.40724
1171.872,6.01e-06,22890.61,0.8336148,0.2366197,0.0003846593,0.003213949,0.03989036,4.565124,11.40796
1294.95,4.8e-06,4406.734,1.295073,0.2292311,0.0002461289,0.001331691,0.04250545,10.39928,11.40856
1426.483,6.12e-06,10935.31,0.9847379,0.2305465,0.0002283521,0.002303459,0.04202471,6.636937,11.40936
1550.353,5.71e-06,15201.48,0.8313555,0.2216967,0.0002590858,0.003232024,0.04544957,5.380942,11.41007
1652.674,5.46e-06,4434.655,1.250298,0.2208121,0.0002145263,0.001429033,0.04581665,10.01316,11.41063
1768.724,4.89e-06,6217.853,1.379294,0.2113892,0.0002280819,0.001174293,0.04999475,7.834808,11.4112
1893.676,5.81e-06,15125.86,1.154789,0.214785,0.0002868364,0.001675375,0.0484294,4.99439,11.41192
2007.943,6.54e-06,5059.66,1.49249,0.2104015,0.00024617,0.00100305,0.05047164,8.323307,11.41267
