age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
320.4672,0.0,837694.2,0.5922114,0.3605868,0.3773697,0.003319141,0.008952816,0.2239869,10.83396
438.95,6.99e-07,676281.3,1.323504,0.4487326,7.49235e-05,0.0006645563,0.005781053,0.3090972,10.83404
541.7177,2.75e-07,2116979.0,1.406171,0.6872753,0.0001157408,0.0005887169,0.002464459,0.2680651,10.83407
649.5026,1.16e-06,3168402.0,0.6947446,0.7406774,0.0004345906,0.002411778,0.002121922,0.2192228,10.83419
754.0857,1.91e-06,3088249.0,0.8497042,0.7408324,0.0005561869,0.001612352,0.002121072,0.2336952,10.83439
856.2023,3.4e-06,3119328.0,0.6009805,0.7624086,0.0004223498,0.003223207,0.002002781,0.2439442,10.83474
964.639,3.04e-06,3362605.0,1.288226,0.838647,0.0003662809,0.0007015168,0.00165525,0.259654,10.83507
1065.285,1.24e-06,5963117.0,0.8365084,0.8148667,0.0009222123,0.001663742,0.001753289,0.1853771,10.83519
1165.645,4.23e-06,6258439.0,0.3730728,0.8428213,0.0008448999,0.008364813,0.001638975,0.1887635,10.83562
1266.522,6.17e-06,4897244.0,0.5042147,0.9475681,0.0003742175,0.0045797,0.001296723,0.2482208,10.83624
1369.664,3.17e-06,7535177.0,0.8325983,1.157203,0.0004168112,0.001679615,0.0008694842,0.2395543,10.83657
1472.554,2.15e-06,10598600.0,1.324698,1.027703,0.001161209,0.0006635221,0.001102439,0.173388,10.83679
1579.261,2.89e-06,11055340.0,1.017299,0.933919,0.001424347,0.001125134,0.001335005,0.164723,10.8371
1689.925,4.93e-06,10973660.0,0.9234144,0.8543156,0.001166919,0.001365619,0.001595461,0.1449572,10.83764
1798.13,8e-06,6736416.0,0.1183501,0.9440557,0.0007052574,0.08314189,0.001306659,0.2092713,10.83851
1906.012,2.91e-06,9388090.0,1.254874,0.8981574,0.001621787,0.000739553,0.001443659,0.1760292,10.83882
2011.698,2.33e-06,12753950.0,1.56526,0.8306854,0.001539569,0.0004753422,0.001687742,0.1366496,10.83907
2115.292,2.32e-06,16268530.0,1.688207,0.8840393,0.001205792,0.0004086363,0.001490203,0.1205366,10.83931
2220.315,1.51e-06,16346430.0,2.181984,0.9152066,0.001698632,0.0002446196,0.001390453,0.1239201,10.83947
2332.465,1.16e-06,18581970.0,2.306961,0.8557738,0.001819514,0.0002188361,0.001590309,0.1176235,10.8396
