age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
136.2769,0.0,555694.4,0.5985949,0.7554692,0.01266851,0.005919277,0.003716217,0.4272506,10.83349
244.6126,5.92e-07,297595.8,1.011341,0.8399172,1.333888e-05,0.002073679,0.003006518,0.4989723,10.83355
348.4983,5.77e-07,850514.7,0.9981531,0.9481276,3.719177e-05,0.002128847,0.002359419,0.2676621,10.83361
456.4722,1.09e-06,1622602.0,1.07913,0.9202106,6.696451e-05,0.001821358,0.002504773,0.177124,10.83373
561.5765,1.94e-06,1227653.0,0.6782987,0.9178374,7.855812e-05,0.004610081,0.002517788,0.187543,10.83393
663.855,1.47e-06,2337724.0,1.539311,0.8383294,0.0001951278,0.0008951656,0.003018052,0.1253299,10.83408
766.5284,3.83e-06,1244324.0,0.551316,0.8857715,7.92759e-05,0.00697863,0.00270351,0.1589433,10.83447
868.7306,2.52e-06,2012535.0,0.9899523,0.8857293,0.0001222663,0.002164476,0.002703829,0.116027,10.83473
976.3153,3.79e-06,1941484.0,0.6327563,0.9874281,7.661809e-05,0.005298149,0.002175636,0.1096894,10.83514
1079.49,3.92e-06,2715277.0,0.7475813,1.01547,9.799598e-05,0.003795736,0.002057211,0.0868041,10.83555
1179.617,4.09e-06,6434052.0,1.37934,0.852293,0.0003330221,0.001115029,0.002920458,0.05293855,10.83595
1284.648,7.33e-06,3066004.0,0.5525598,0.8460272,0.0001543321,0.006948654,0.002964084,0.07275773,10.83672
1387.518,5.85e-06,1960243.0,0.3243405,0.9292866,8.27208e-05,0.02016881,0.002456877,0.08779447,10.83733
1493.675,6.5e-06,3055955.0,0.319622,0.9072118,0.0001186676,0.02077001,0.002578057,0.06798007,10.83802
1594.149,6.82e-06,3128388.0,0.4542833,0.9099139,0.0001085161,0.01028214,0.002562928,0.06522298,10.8387
1696.91,6.21e-06,7510263.0,0.9056102,0.8716113,0.0001686617,0.002587494,0.002793292,0.04089106,10.83934
1802.298,6.5e-06,9476237.0,2.863941,0.8502051,0.0003273979,0.0002587383,0.002935902,0.03574514,10.84002
1905.925,3.88e-06,30108130.0,2.078776,0.7328534,0.00111412,0.000491122,0.003951577,0.01957368,10.84043
2007.939,1.13e-05,23892120.0,1.400707,0.7441835,0.0009590706,0.001081822,0.003832572,0.02165422,10.84158
2108.51,1.26e-05,15392190.0,1.265499,0.7866287,0.0005795257,0.001325492,0.003430528,0.02666886,10.84285
