age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
295.0016,0.0,1.338144e-06,0.01993625,0.0127367,0.0,133.0284,325.9246,0.8283408,270.0
452.8632,0.0221,403796.0,1.066918,0.4668357,4.657957,0.04704912,0.2457454,0.3297987,273.4935
586.3452,0.000364,7679.868,1.89247,0.5152326,0.001850603,0.01495657,0.2017824,2.483108,273.542
687.5033,3.61e-05,24462.03,1.541576,0.4881169,0.001274353,0.0225406,0.2248265,1.411411,273.5457
801.8504,3.59e-05,13585.56,1.769463,0.4900141,0.0009077007,0.01710876,0.2230921,1.964643,273.5498
908.7576,3.66e-05,6035.892,1.771637,0.4898026,0.0006936918,0.017067,0.2232877,3.016877,273.5537
1019.918,3.86e-05,4819.71,1.760267,0.4930375,0.0006422831,0.01728845,0.2203705,3.431998,273.558
1122.672,4.29e-05,5139.564,1.815652,0.4954916,0.0007003009,0.01625004,0.2181962,3.341306,273.5624
1231.386,4.32e-05,6568.424,1.607619,0.4980421,0.0007387395,0.02072815,0.2159706,2.991362,273.5671
1340.606,4.54e-05,23991.57,1.310938,0.5049566,0.0009515843,0.03117235,0.2100999,1.593016,273.572
1443.767,4.98e-05,5812.081,1.591509,0.5023929,0.0007959767,0.02115064,0.2122535,3.2496,273.5772
1547.774,5.4e-05,6211.817,1.494663,0.504327,0.0007210971,0.0239808,0.2106327,3.167573,273.5828
1648.381,5.41e-05,2419.21,1.55129,0.50658,0.0003381592,0.02226243,0.2087672,5.09555,273.5883
1751.848,5.65e-05,5868.04,1.504811,0.5092062,0.0008013348,0.02365938,0.2066236,3.331969,273.5941
1862.291,6.03e-05,7371.369,1.363813,0.5103146,0.0009499672,0.02880496,0.2057317,2.987466,273.6008
1965.124,6.16e-05,6640.115,1.469941,0.5143983,0.0009413307,0.02479632,0.2024826,3.18049,273.6071
2065.402,6.54e-05,4828.873,1.343431,0.5165669,0.0006792408,0.02968696,0.2007907,3.819465,273.6136
2168.168,6.99e-05,17827.26,0.887319,0.5147271,0.0006976124,0.06805314,0.2022337,1.997314,273.6208
2271.883,6.89e-05,22383.81,0.7957979,0.5168325,0.001211483,0.0846083,0.2005944,1.770025,273.628
2380.441,7.19e-05,8545.73,1.120986,0.5260937,0.001089605,0.04264124,0.1935995,2.864416,273.6358
2486.569,7.01e-05,7541.75,1.275169,0.5302603,0.001037417,0.03295386,0.190574,3.028696,273.6432
2589.527,7.57e-05,4416.449,1.260249,0.5319151,0.0006032594,0.03373967,0.1893952,3.996172,273.651
2693.203,7.68e-05,17745.55,0.5993756,0.5347307,0.001143489,0.1491653,0.1874112,2.03574,273.659
2803.47,7.83e-05,21836.79,0.8416141,0.5373464,0.001365241,0.07565768,0.1855967,1.829842,273.6676
2912.26,8.31e-05,10971.6,0.9246089,0.547212,0.001215229,0.06268688,0.1789706,2.56108,273.6767
3015.275,8.94e-05,50248.73,1.066902,0.5658796,0.001506932,0.04708229,0.1673628,1.19757,273.6859
3123.496,8.72e-05,11613.96,0.8540891,0.5520067,0.001377766,0.07347085,0.1758866,2.515653,273.6953
3226.452,8.59e-05,10125.44,1.106811,0.5538199,0.001361497,0.04375099,0.1747422,2.704637,273.7041
3334.916,9.18e-05,9911.012,1.156046,0.5568808,0.001135683,0.04010513,0.1728326,2.751745,273.7141
3441.46,9.7e-05,44924.27,1.029661,0.5685386,0.001426292,0.05055656,0.1658236,1.300675,273.7244
3551.952,9.72e-05,20403.42,0.6411594,0.5603959,0.001584959,0.1303919,0.170684,1.909686,273.7352
3658.345,9.63e-05,10239.27,1.137719,0.5671183,0.001356604,0.04141222,0.1666676,2.704513,273.7454
3767.506,9.86e-05,11739.38,1.115548,0.5694765,0.001537529,0.0430763,0.1652964,2.567866,273.7562
