age,accrate,average density,average vinfinity,average cinfinity,total gas mass,HL radius,Bondi radius,Jeans length,BH mass
579.0364,0.0,1.770326e-05,0.5876829,0.5925784,0.0,0.003370285,0.003314828,52.36215,10.83333
863.0479,0.0,1.770326e-05,0.5876829,0.5925784,0.0,0.003370285,0.003314828,52.36215,10.83333
1126.033,0.0,661094.9,0.3785846,0.3606909,18.98066,0.008121309,0.008947082,0.2524279,10.83333
1226.279,1.51e-07,60608.65,0.1353755,0.4331082,1.711183e-07,0.06351436,0.00620525,3.228788,10.83335
1250.05,0.000104,29612.65,0.7398963,0.362202,0.00124086,0.00212876,0.008883142,1.220168,10.84623
1357.19,1.19e-05,28309.61,0.977685,0.3551217,0.0004098197,0.001219329,0.009241968,1.309943,10.84751
1463.903,8.73e-06,46321.14,0.7536064,0.3536115,0.0004473435,0.002052422,0.009321874,1.08991,10.84844
1572.168,8.6e-06,39849.4,0.800791,0.3508341,0.0003946537,0.001817835,0.009470858,1.257674,10.84937
1700.658,6.36e-06,17900.01,0.9539535,0.3478924,0.0002393967,0.001281064,0.009632416,2.150438,10.85019
1804.89,5.11e-06,10595.27,1.06195,0.3457787,0.0001888437,0.001033803,0.009751015,3.180726,10.85072
1915.792,6.31e-06,25550.73,0.5968645,0.3452288,0.000193998,0.003272822,0.009782727,2.317101,10.85142
2038.278,5.79e-06,23437.35,0.7017611,0.3425363,0.0001876092,0.002367681,0.009937765,2.652949,10.85213
2138.542,5.75e-06,36937.93,0.8167058,0.3393083,0.0001606358,0.001748209,0.01012828,2.254203,10.8527
2256.104,6.56e-06,24392.3,0.7920234,0.3367597,0.0002132668,0.001858999,0.01028289,2.988168,10.85347
2358.952,6.11e-06,6791.12,1.02669,0.3356762,0.0001401457,0.001106372,0.01034997,5.756439,10.8541
2460.545,7.01e-06,9125.81,0.9183075,0.3372445,0.0001236499,0.001383031,0.0102546,4.978118,10.85482
2575.201,5.84e-06,8439.016,0.9732442,0.3337739,0.0001667658,0.001231377,0.01046959,5.625308,10.85549
2677.027,7.96e-06,20063.32,0.6655085,0.3322231,0.0001968601,0.00263366,0.01056835,3.945688,10.8563
2783.173,7.18e-06,38305.97,0.4281129,0.3326443,0.0002354911,0.006364735,0.01054233,2.794387,10.85706
2885.307,8.09e-06,15188.61,0.7158766,0.3325034,0.0001985558,0.002276426,0.01055207,4.413911,10.85789
2992.05,7.76e-06,23387.14,0.84896,0.3334177,0.0001721589,0.001618781,0.01049507,3.486571,10.85871
3100.307,7.65e-06,30427.57,0.4361945,0.3307432,0.0002700557,0.006132465,0.01066629,3.039713,10.85954
3208.214,7.53e-06,27429.68,0.557828,0.3305848,0.0002002042,0.003749963,0.01067731,3.010078,10.86035
3312.824,9.14e-06,21399.72,0.9284104,0.333461,0.0002614853,0.001353897,0.01049483,3.389385,10.86131
3416.993,8.54e-06,8419.063,1.029838,0.3335003,0.0001830422,0.001100432,0.01049321,5.564717,10.8622
3533.162,9.13e-06,28437.94,0.7041086,0.3323616,0.0002410626,0.002354309,0.01056626,3.006097,10.86326
3647.243,8.88e-06,8868.231,0.9729582,0.3338969,0.0001951502,0.001233089,0.01047028,5.136824,10.86427
3750.514,1.07e-05,34135.2,0.6106712,0.3295404,0.0003582219,0.003130489,0.01075003,2.624479,10.86538
3859.752,9.72e-06,7212.153,1.112472,0.3354339,0.0001608966,0.0009433896,0.0103766,5.753852,10.86645
3971.235,8.41e-06,29738.09,1.201121,0.3364075,0.0002855311,0.0008093429,0.01031751,2.898867,10.86738
4078.238,9.22e-06,8110.99,0.9341367,0.3353691,0.0001357438,0.001338211,0.01038244,5.600159,10.86837
4197.953,8.61e-06,19444.17,0.8942625,0.3346718,0.0002447832,0.001460348,0.01042673,3.842416,10.8694
4318.109,9.81e-06,33651.04,0.4235923,0.3336805,0.0002867269,0.006509338,0.0104899,2.822145,10.87058
4426.568,9.57e-06,8982.989,0.9783667,0.3374418,0.0001880649,0.001220312,0.01025832,5.915358,10.87162
4528.777,9.32e-06,19323.83,0.9269061,0.3374545,0.0002396436,0.001359692,0.01025844,4.038409,10.87257
4629.567,9.91e-06,36139.83,0.6611168,0.3375546,0.0003136352,0.002672976,0.01025329,2.96074,10.87357
4747.61,1.1e-05,21968.42,0.7276339,0.336163,0.0002849101,0.002206872,0.01033959,3.676667,10.87487
4855.43,1.02e-05,36565.12,1.129117,0.34036,0.0003084568,0.0009165773,0.01008718,2.636397,10.87597
4955.778,1.08e-05,35509.39,0.961087,0.3378484,0.000305788,0.001265214,0.01023872,2.794547,10.87705
5075.025,1.08e-05,32870.5,0.4323728,0.340757,0.0003228851,0.006252073,0.01006587,2.792083,10.87834
5176.399,1.13e-05,55410.21,1.119173,0.3391408,0.0003843863,0.0009332357,0.0101631,2.117612,10.87948
5291.669,1.2e-05,31332.51,0.5875593,0.3416204,0.0002961966,0.003386392,0.01001736,2.791711,10.88086
5409.017,1.28e-05,37158.64,0.7660067,0.3423077,0.0003537003,0.001992668,0.009978534,2.612929,10.88236
5527.423,1.03e-05,22311.37,0.9793148,0.3414407,0.0003027554,0.00121928,0.01003039,3.410806,10.88357
5644.836,1.08e-05,29866.85,1.147448,0.3457438,0.0003383207,0.0008882445,0.009783396,3.059708,10.88484
5756.283,9.65e-06,9195.813,0.994412,0.3446035,0.000202378,0.001182792,0.009849213,5.382785,10.88591
5857.3,1.29e-05,34629.33,0.6535841,0.3446787,0.0003292443,0.002738353,0.009846082,2.687092,10.88721
5972.152,1.2e-05,31638.29,1.02605,0.3455061,0.000309684,0.001111245,0.009800218,2.904594,10.88859
6072.601,1.18e-05,22385.51,0.9282486,0.3478619,0.000310171,0.001357893,0.009668978,3.524213,10.88978
6175.803,1.19e-05,36801.31,0.6521888,0.3466172,0.0003623113,0.002751036,0.009739636,2.893619,10.89101
6285.99,1.11e-05,8155.364,1.066173,0.3474738,0.0001851556,0.001029523,0.00969276,6.227648,10.89224
6406.063,1.21e-05,34734.7,0.5453869,0.3450885,0.0003435257,0.003934953,0.009828517,3.144412,10.89368
6524.452,1.34e-05,43086.43,0.923277,0.3492454,0.0003759809,0.001373244,0.009597326,2.551934,10.89527
6642.215,1.2e-05,28358.61,0.6451559,0.3510402,0.0003273481,0.002812795,0.009500658,3.100873,10.89668
6753.668,1.42e-05,51512.35,0.7177301,0.3498153,0.0003017058,0.002273044,0.00956869,2.326867,10.89825
6874.001,1.27e-05,43375.85,0.4772581,0.3548973,0.0003842061,0.005141431,0.009297908,2.42576,10.89979
6980.846,1.26e-05,45478.42,0.5502683,0.3546583,0.0004032994,0.003868078,0.009311594,2.342062,10.90114
7093.84,1.26e-05,59429.56,1.258462,0.3543646,0.0004365831,0.0007396395,0.009328244,2.141701,10.90256
7215.693,1.3e-05,22671.31,1.034859,0.3536834,0.0003290727,0.001093958,0.009365567,3.526904,10.90415
7329.17,1.23e-05,61249.64,0.8985337,0.3558644,0.0004720103,0.001451276,0.009252295,2.128994,10.90554
7442.813,1.45e-05,24550.34,1.101398,0.3553923,0.00030763,0.0009660411,0.009278292,3.368673,10.90719
7560.438,1.36e-05,29832.21,0.9808428,0.3573454,0.0003624869,0.001218284,0.009178485,3.007087,10.90879
7675.083,1.38e-05,14025.05,1.141522,0.3576048,0.0003348991,0.0008995826,0.009166495,4.388973,10.91037
7784.235,1.41e-05,49326.38,1.018493,0.3578688,0.0004190783,0.001130199,0.009154256,2.432897,10.91191
7905.963,1.44e-05,35703.66,1.066492,0.3600048,0.0003680411,0.001030921,0.009047397,2.790313,10.91366
8012.344,1.4e-05,32832.76,1.137671,0.3576417,0.0002347197,0.0009060784,0.009168593,2.908712,10.91515
8133.567,1.35e-05,47591.73,0.4611324,0.3601561,0.0003717857,0.005515851,0.009042369,2.681091,10.91678
8235.693,1.34e-05,32738.16,0.8008791,0.36012,0.000375219,0.001828874,0.009045306,3.249371,10.91815
8343.909,1.41e-05,25811.99,0.7962054,0.3597949,0.0003496798,0.001850666,0.009062921,3.673253,10.91968
8465.407,1.48e-05,62793.38,0.4960304,0.3634724,0.0004791458,0.004769058,0.008881911,2.21405,10.92147
8567.622,1.49e-05,57483.03,1.11584,0.3628679,0.0004791514,0.0009425532,0.008912764,2.308445,10.92299
8668.417,1.59e-05,18794.94,1.078111,0.3603858,0.0003897938,0.001009824,0.009037275,3.930621,10.9246
8776.911,1.35e-05,51654.42,0.8548943,0.3610423,0.0004026733,0.001606223,0.009005637,2.420197,10.92606
8877.857,1.47e-05,50714.02,0.9581968,0.3647405,0.0004229033,0.001278733,0.008825134,2.384235,10.92754
8990.163,1.56e-05,58750.57,1.080517,0.3624533,0.0004766811,0.001005763,0.00893829,2.126686,10.9293
9092.986,1.37e-05,42201.12,0.8236744,0.3632828,0.0004219089,0.001731025,0.008898663,2.516539,10.93071
9204.452,1.54e-05,33311.85,0.6837742,0.3647031,0.0003277451,0.002512215,0.008830867,2.837408,10.93242
9316.848,1.33e-05,33095.67,1.242573,0.3642938,0.0004028002,0.0007608472,0.00885193,2.89582,10.93392
9417.287,1.65e-05,14035.77,0.9198507,0.3663488,0.0002573015,0.001388584,0.008754215,4.752828,10.93557
9517.531,1.42e-05,28635.97,1.034331,0.3637418,0.0003864948,0.001098359,0.0088813,3.186294,10.93699
9636.273,1.41e-05,14721.7,1.113119,0.3637819,0.0003385229,0.0009485181,0.008880696,4.65568,10.93867
9750.447,1.68e-05,40404.17,1.136505,0.3653059,0.0004069078,0.0009100435,0.008808288,2.794616,10.94059
9851.66,1.49e-05,31417.0,1.050073,0.3656244,0.0003854449,0.001066167,0.008794157,3.159213,10.9421
9961.524,1.45e-05,14356.82,1.086652,0.364878,0.0003343863,0.0009957407,0.008831453,4.798056,10.94369
10081.86,1.63e-05,65752.18,1.055508,0.3660404,0.0005319344,0.001055557,0.008777013,2.366534,10.94565
10199.57,1.57e-05,59528.83,1.032572,0.3667115,0.000520769,0.001103157,0.008746381,2.255362,10.94749
10315.89,1.52e-05,60540.78,0.5986325,0.3686737,0.0004904441,0.003282667,0.008654918,2.185225,10.94926
10430.1,1.54e-05,50686.6,0.5975101,0.370559,0.0004267868,0.003295537,0.008568446,2.491039,10.95102
10541.15,1.76e-05,55075.82,0.6465716,0.3719422,0.000461363,0.002814885,0.008506348,2.352202,10.95298
10642.23,1.5e-05,33260.81,0.9031419,0.3729305,0.0003768184,0.001442919,0.00846249,2.988431,10.9545
10756.16,1.6e-05,45489.06,0.8252754,0.371375,0.0004489767,0.001728336,0.008534942,2.575392,10.95632
10869.1,1.61e-05,66054.56,0.9562162,0.3758011,0.0005444654,0.001287614,0.008336462,2.063504,10.95814
10973.34,1.62e-05,18867.15,1.095493,0.3749049,0.0004165893,0.0009811728,0.008377651,3.805681,10.95983
11091.94,1.65e-05,31503.31,0.9410872,0.3755591,0.000396884,0.001329787,0.008349976,3.208483,10.96179
11196.11,1.88e-05,71998.35,0.9126121,0.378347,0.0005063086,0.001414317,0.008228841,2.079128,10.96375
11301.23,1.79e-05,33950.77,1.196619,0.3777969,0.00043311,0.0008227754,0.008254229,3.080981,10.96563
11416.08,1.72e-05,30174.94,1.066712,0.3805276,0.0004517281,0.001035565,0.008137652,3.119166,10.96761
11523.09,1.78e-05,50504.54,1.168613,0.3816709,0.0005149424,0.0008629887,0.008090367,2.446604,10.96951
11640.59,1.79e-05,40879.02,1.182151,0.3843617,0.0004928468,0.0008434975,0.007979013,2.928484,10.97162
11746.14,1.78e-05,18898.13,1.092859,0.3874487,0.0004191279,0.0009871312,0.00785371,4.159468,10.9735
11848.02,1.6e-05,16309.3,1.048672,0.3894706,0.0003205852,0.00107223,0.007773529,4.608238,10.97512
11962.83,1.84e-05,61246.43,0.9510168,0.3871177,0.0005483196,0.001303991,0.007869819,2.264534,10.97724
12063.58,2.21e-05,53976.42,1.01641,0.3955452,0.0004986504,0.001141828,0.007539564,2.38471,10.97946
12178.64,2.01e-05,19471.07,0.9995453,0.3971382,0.0004646069,0.001180932,0.007480772,4.061195,10.98178
12285.15,2.18e-05,50838.3,0.9110971,0.3960963,0.0005827469,0.001421647,0.007521759,2.408545,10.9841
12388.63,2.12e-05,21673.17,1.122853,0.3978441,0.0005091066,0.0009361855,0.0074573,3.730855,10.98629
12490.98,2.28e-05,37677.03,0.9333737,0.3998419,0.0003554682,0.001355153,0.007384531,2.945371,10.98862
12598.89,2.1e-05,19104.93,1.199871,0.4008528,0.0003176074,0.0008202001,0.007348841,4.277024,10.99089
12708.67,2.11e-05,24366.84,0.9519703,0.4013552,0.0005020394,0.001303267,0.007331997,3.872206,10.99321
12811.38,2.35e-05,47007.2,0.6863277,0.3999856,0.0005825535,0.00250791,0.007383909,2.663044,10.99562
12919.44,2.33e-05,24439.69,1.112379,0.4053278,0.0005591297,0.0009549235,0.00719219,3.708048,10.99814
13023.39,2.33e-05,64483.13,0.848928,0.4044365,0.000450812,0.001639938,0.007225509,2.262327,11.00055
13130.81,2.43e-05,17618.08,1.072864,0.4103606,0.0003823982,0.001027028,0.007020055,4.271481,11.00316
13236.46,2.27e-05,18803.59,1.056437,0.4116082,0.000434092,0.001059447,0.00697908,4.338221,11.00556
